mapped_id,original_id,pharmacologicalFamily
EK,CnVIA (Conus consors) [P01626],delta
EL,CVIE-2 (Conus catus) [P01625],delta
EM,ErVIA (Conus eburneus) [P06773],delta
EN,EVIA (Conus ermineus (Atlantic fish-hunting cone)) [P01561],delta
EO,EVIB (Conus ermineus (Atlantic fish-hunting cone)) [P01575],delta
EP,GmVIA (Conus gloriamaris) [P01598],delta
EQ,Mo3964 (Conus monile) [P07063],delta
ER,MVIA (Conus magus (Magus cone)) [P01624],delta
ES,MVIB (Conus magus (Magus cone)) [P01623],delta
ET,MVIC (Conus magus (Magus cone)) [P01622],delta
EU,MVID (Conus magus (Magus cone)) [P01621],delta
EV,NgVIA (Conus nigropunctatus) [P01519],delta
EW,PVIA (Conus purpurascens) [P02595],delta
EX,SmVIA (Conus stercusmuscarum) [P01620],delta
EY,SuVIA (Conus suturatus) [P06805],delta
EZ,SVIE (Conus striatus (Striated cone)) [P02710],delta
FA,TsVIA (Conus tessulatus) [P06849],delta
FB,TxVIA (Conus textile (Cloth-of-gold cone)) [P01552],delta
FC,TxVIB (Conus textile (Cloth-of-gold cone)) [P01553],delta
FD,BuIIIA (Conus bullatus) [P03623],mu
FE,BuIIIB (Conus bullatus) [P03625],mu
FF,CIIIA (Conus catus) [P01692],mu
FG,CnIIIA (Conus consors) [P01693],mu
FH,CnIIIB (Conus consors) [P01690],mu
FI,CnIIIC (Conus consors) [P03834],mu
FJ,conotoxin-GS (Conus geographus (Geography cone)) [P01268],mu
FK,GIIIA (Conus geographus (Geography cone)) [P01571],mu
FL,GIIIB (Conus geographus (Geography cone)) [P01566],mu
FM,GIIIC (Conus geographus (Geography cone)) [P01744],mu
FN,GVIIJ (Conus geographus (Geography cone)) [P06822],mu
FO,KIIIA (Conus kinoshitai) [P02587],mu
FP,KIIIB (Conus kinoshitai) [P07434],mu
FQ,Lt5d (Conus litteratus) [P03322],mu
FR,LtVIC (Conus litteratus) [P02871],mu
FS,MfVIA (Conus magnificus) [P05840],mu
FT,MIIIA (Conus magus (Magus cone)) [P01691],mu
FU,MrVIA (Conus marmoreus) [P01554],mu
FV,MrVIB (Conus marmoreus) [P01556],mu
FW,PIIIA (Conus purpurascens) [P02228],mu
FX,PnIVA (Conus pennaceus) [P01560],mu
FY,PnIVB (Conus pennaceus) [P01559],mu
FZ,SIIIA (Conus striatus (Striated cone)) [P02707],mu
GA,SIIIB (Conus striatus (Striated cone)) [P01615],mu
GB,SmIIIA (Conus stercusmuscarum) [P01662],mu
GC,SxIIIA (Conus striolatus) [P03584],mu
GD,SxIIIB (Conus striolatus) [P03585],mu
GE,SxIIIC (Conus striolatus) [P09774],mu
GF,TIIIA (Conus tulipa (tulip cone)) [P01616],mu
GG,TsIIIA (Conus tessulatus) [P07525],mu
GH,Bru9a (Conus brunneus) [P07497],omega
GI,Cal16.2 (Conus californicus) [P04231],omega
GJ,CnVIIA (Conus consors) [P01632],omega
GK,Contryphan-Am (Conus amadis) [P01270],omega
GL,contryphan-M (Conus marmoreus) [P02570],omega
GM,CVIA (Conus catus) [P02548],omega
GN,CVIB (Conus catus) [P01726],omega
GO,CVIC (Conus catus) [P01725],omega
GP,CVID (Conus catus) [P02549],omega
GQ,CVIE (Conus catus) [P04243],omega
GR,CVIF (Conus catus) [P03340],omega
GS,Eu1.6 (Conus eburneus) [P04644],omega
GT,FVIA (Conus fulmen) [P04241],omega
GU,GVIA (Conus geographus (Geography cone)) [P01546],omega
GV,GVIIA (Conus geographus (Geography cone)) [P01743],omega
GW,GVIIB (Conus geographus (Geography cone)) [P02581],omega
GX,MoVIA (Conus moncuri) [P07647],omega
GY,MoVIB (Conus moncuri) [P07646],omega
GZ,MVIIA (Conus magus (Magus cone)) [P01386],omega
HA,MVIIB (Conus magus (Magus cone)) [P01638],omega
HB,MVIIC (Conus magus (Magus cone)) [P01484],omega
HC,MVIID (Conus magus (Magus cone)) [P02675],omega
HD,PnVIA (Conus pennaceus) [P01742],omega
HE,PnVIB (Conus pennaceus) [P01741],omega
HF,RsXXVIA (Conus regularis) [P05355],omega
HG,RVIA (Conus radiatus) [P01728],omega
HH,SO3 (Conus striatus (Striated cone)) [P01540],omega
HI,SVIA (Conus striatus (Striated cone)) [P01794],omega
HJ,SVIA mutant 1 (Conus striatus (Striated cone)) [P03275],omega
HK,SVIB (Conus striatus (Striated cone)) [P01793],omega
HL,TVIA (Conus tulipa (tulip cone)) [P01727],omega
HM,TxVII (Conus textile (Cloth-of-gold cone)) [P01603],omega
