uid,ctx_type
SmVIA (Conus stercusmuscarum) [P01620],delta
SuVIA (Conus suturatus) [P06805],delta
SVIE (Conus striatus (Striated cone)) [P02710],delta
TsVIA (Conus tessulatus) [P06849],delta
TxVIA (Conus textile (Cloth-of-gold cone)) [P01552],delta
TxVIB (Conus textile (Cloth-of-gold cone)) [P01553],delta
BuIIIA (Conus bullatus) [P03623],mu
BuIIIB (Conus bullatus) [P03625],mu
CIIIA (Conus catus) [P01692],mu
CnIIIA (Conus consors) [P01693],mu
CnIIIB (Conus consors) [P01690],mu
CnIIIC (Conus consors) [P03834],mu
conotoxin-GS (Conus geographus (Geography cone)) [P01268],mu
GIIIA (Conus geographus (Geography cone)) [P01571],mu
GIIIB (Conus geographus (Geography cone)) [P01566],mu
GIIIC (Conus geographus (Geography cone)) [P01744],mu
GVIIJ (Conus geographus (Geography cone)) [P06822],mu
KIIIA (Conus kinoshitai) [P02587],mu
KIIIB (Conus kinoshitai) [P07434],mu
Lt5d (Conus litteratus) [P03322],mu
LtVIC (Conus litteratus) [P02871],mu
MfVIA (Conus magnificus) [P05840],mu
MIIIA (Conus magus (Magus cone)) [P01691],mu
MrVIA (Conus marmoreus) [P01554],mu
MrVIB (Conus marmoreus) [P01556],mu
PIIIA (Conus purpurascens) [P02228],mu
PnIVA (Conus pennaceus) [P01560],mu
PnIVB (Conus pennaceus) [P01559],mu
SIIIA (Conus striatus (Striated cone)) [P02707],mu
SIIIB (Conus striatus (Striated cone)) [P01615],mu
SmIIIA (Conus stercusmuscarum) [P01662],mu
SxIIIA (Conus striolatus) [P03584],mu
SxIIIB (Conus striolatus) [P03585],mu
SxIIIC (Conus striolatus) [P09774],mu
TIIIA (Conus tulipa (tulip cone)) [P01616],mu
TsIIIA (Conus tessulatus) [P07525],mu
Bru9a (Conus brunneus) [P07497],omega
Cal16.2 (Conus californicus) [P04231],omega
CnVIIA (Conus consors) [P01632],omega
Contryphan-Am (Conus amadis) [P01270],omega
contryphan-M (Conus marmoreus) [P02570],omega
CVIA (Conus catus) [P02548],omega
CVIB (Conus catus) [P01726],omega
CVIC (Conus catus) [P01725],omega
CVID (Conus catus) [P02549],omega
CVIE (Conus catus) [P04243],omega
CVIF (Conus catus) [P03340],omega
Eu1.6 (Conus eburneus) [P04644],omega
FVIA (Conus fulmen) [P04241],omega
GVIA (Conus geographus (Geography cone)) [P01546],omega
GVIIA (Conus geographus (Geography cone)) [P01743],omega
GVIIB (Conus geographus (Geography cone)) [P02581],omega
MoVIA (Conus moncuri) [P07647],omega
MoVIB (Conus moncuri) [P07646],omega
MVIIA (Conus magus (Magus cone)) [P01386],omega
MVIIB (Conus magus (Magus cone)) [P01638],omega
MVIIC (Conus magus (Magus cone)) [P01484],omega
MVIID (Conus magus (Magus cone)) [P02675],omega
PnVIA (Conus pennaceus) [P01742],omega
PnVIB (Conus pennaceus) [P01741],omega
RsXXVIA (Conus regularis) [P05355],omega
RVIA (Conus radiatus) [P01728],omega
SO3 (Conus striatus (Striated cone)) [P01540],omega
SVIA (Conus striatus (Striated cone)) [P01794],omega
SVIA mutant 1 (Conus striatus (Striated cone)) [P03275],omega
SVIB (Conus striatus (Striated cone)) [P01793],omega
TVIA (Conus tulipa (tulip cone)) [P01727],omega
TxVII (Conus textile (Cloth-of-gold cone)) [P01603],omega
