mapped_id,pharmacologicalFamily,x_umap,y_umap,z_umap,x_pca,y_pca,z_pca,variance
FM,mu,16.044384,11.809014,9.973988,-0.4592729,1.0425389,-0.6314058,
FN,mu,15.541752,11.786251,9.566061,-0.47496688,0.9195468,-0.49385688,
FO,mu,-1.0715628,13.937883,6.946712,1.3698071,0.031385656,-0.19175172,
FP,mu,16.767424,11.313592,9.219997,-0.4172895,1.0103683,-0.97952926,
FQ,mu,16.412313,11.270136,8.943354,-0.52299374,0.79688287,-0.9474988,
FR,mu,14.141827,14.164946,9.378659,-0.7367191,0.13704626,0.3957679,
FS,mu,-0.12355776,14.791435,6.3837576,1.6161343,-1.0168769,0.0007396502,
FT,mu,-1.9863973,11.792741,5.18861,1.7033885,-0.5726333,0.40727097,
FU,mu,16.017256,11.095492,8.895313,-0.4933128,1.0503962,-0.7847482,
FV,mu,-2.3101058,11.858812,5.1370983,1.7769351,-0.1472447,0.626744,
FW,mu,-2.1263993,11.88719,4.945508,1.85552,-0.5173716,0.5157984,
FX,mu,16.285107,11.317579,9.487034,-0.40336946,1.12088,-0.75267214,
FY,mu,14.975928,13.729838,9.842473,-0.5709002,0.059921853,-0.24445213,
FZ,mu,14.841936,14.080646,10.144311,-0.55997646,-0.24261011,-0.3623934,
GA,mu,16.281631,11.958947,8.772802,-0.6332203,0.75077075,-0.8883623,
GB,mu,16.31173,12.04472,9.036965,-0.575616,0.7952787,-0.99049616,
GC,mu,16.841286,11.680686,9.03024,-0.46155483,0.56127524,-1.137229,
GD,mu,16.308651,11.968834,9.744338,-0.45019436,0.61275595,-0.74828464,
GE,mu,16.021708,11.585862,9.344004,-0.43299195,0.7513174,-0.6893605,
GF,mu,16.710447,11.726496,9.371477,-0.40881237,0.6203089,-1.1572231,
GG,mu,16.628464,11.512911,9.543646,-0.41307813,1.0844803,-1.0247312,
GH,omega,16.272032,12.332591,9.394337,-0.67045146,0.58909124,-0.80282176,
GI,omega,-0.692146,13.633848,6.6489162,0.6113423,-0.067962766,-0.43911195,
GJ,omega,15.818958,11.567529,9.205973,-0.43856397,1.0329462,-0.64354664,
GK,omega,-0.46561053,14.598697,7.006792,1.4314227,-0.6225957,-0.6131061,
GL,omega,14.881621,11.490895,9.5497265,-0.28192443,1.0890839,0.54700476,
GM,omega,15.220176,10.64346,9.991266,-0.013194334,2.3928347,0.8464807,
GN,omega,0.4426325,14.778379,6.914024,1.4695733,-0.91794705,-0.91211027,
GO,omega,-0.20840485,15.069917,7.63426,1.4706794,-0.58644277,-0.93386173,
GP,omega,-0.43236604,14.286698,7.258087,1.5812374,-0.5444861,-0.6746152,
GQ,omega,-0.045703787,14.332949,6.7810907,1.594593,-0.91704684,-0.41274264,
GR,omega,0.23892628,15.151825,7.53146,1.4970478,-0.8777527,-0.9402412,
GS,omega,0.41838342,15.338052,6.8490596,1.6799921,-0.81799996,-0.6737227,
GT,omega,14.072904,15.887956,6.3705626,-0.91530174,-0.9119666,0.5754432,
GU,omega,0.16646369,15.0128355,7.1643767,1.5922754,-0.9649862,-0.7468,
GV,omega,-0.49353817,15.323487,7.158112,1.3629317,-0.74745685,-0.59736043,
GW,omega,-0.8644862,14.901715,6.471493,1.2904202,-0.5058621,-0.19975723,
GX,omega,-1.0005032,15.042202,6.8233004,1.2186172,-0.6366158,-0.28847596,
GY,omega,-1.4351096,14.541487,6.832511,1.2243309,0.06318319,-0.1724711,
GZ,omega,-1.042531,14.49959,6.866109,1.2785547,-0.12171807,-0.18647487,
HA,omega,0.05663283,14.477719,7.4603996,1.656366,-0.7832234,-0.6615744,
HB,omega,0.34037668,15.151852,7.138513,1.5077382,-1.0247703,-0.7754872,
HC,omega,-0.19592269,14.689271,7.3523746,1.5244575,-0.43548685,-0.7476215,
HD,omega,0.23439096,15.180455,7.357319,1.460645,-0.83136475,-0.8685154,
HE,omega,-1.6414981,12.757615,4.7984653,1.591315,-0.6302374,0.42438266,
HF,omega,-1.6922529,12.687694,5.041925,1.4913491,-0.82082707,0.3792289,
HG,omega,15.216229,10.099472,9.8889065,0.72380686,2.389096,0.007052131,
HH,omega,-0.7971095,15.1891,6.886358,1.2631521,-0.7697982,-0.42888683,
HI,omega,0.3864091,14.632013,7.028436,1.5396125,-0.88290584,-0.5976944,
HJ,omega,-0.25260812,14.968171,6.598361,1.3007159,-0.8047848,-0.7031301,
HK,omega,-0.123299964,15.317668,6.5309296,1.4162343,-1.0110433,-0.55361974,
HL,omega,0.07356046,14.634278,7.174739,1.5872066,-0.7695664,-0.78404474,
HM,omega,-0.48989528,15.309069,6.6125803,1.3535235,-0.986935,-0.47405997,
