uid,paper,url,People
BingXie,Dynamic genetic differentiation drives the widespread structural and functional convergent evolution of snake venom proteinaceous toxins,https://bmcbiol.biomedcentral.com/articles/10.1186/s12915-021-01208-9#additional-information,Bing Xie
BungarusMulticinctus,The structural and functional divergence of a neglected three-finger toxin subfamily in lethal elapids,https://www.cell.com/cell-reports/fulltext/S2211-1247(22)00877-4?_returnURL=https%3A%2F%2Flinkinghub.elsevier.com%2Fretrieve%2Fpii%2FS2211124722008774%3Fshowall%3Dtrue#%20,Zhang Zhi
Drysdalin,"Drysdalin, an antagonist of nicotinic acetylcholine receptors highlights the importance of functional rather than structural conservation of amino acid residues",https://pubmed.ncbi.nlm.nih.gov/32123825/,Ritu Chandna
